,year,type,stage
1359,1978,p0,9
1360,1978,p0,10
1361,1978,p0,11
1362,1978,p0,12
1363,1978,p0,13
1364,1978,p0,14
1365,1978,p0,15
1366,1978,p0,16
1367,1978,p0,17
1368,1978,p0,18
1369,1978,p0,19
1370,1978,p0,20
1371,1978,p0,21
1372,1978,p0,22
1373,1978,p0,23
1374,1978,p0,24
1375,1978,p0,25
1376,1979,p0,1
1377,1979,p0,2
1378,1979,p0,3
1379,1979,p0,4
1380,1979,p0,5
1381,1979,p0,6
1382,1979,p0,7
1383,1979,p0,8
1384,1979,p0,9
1385,1979,p0,10
1386,1979,p0,11
1387,1979,p0,12
1388,1979,p0,13
1389,1979,p0,14
1390,1979,p0,15
1391,1979,p0,16
1392,1979,p0,17
1393,1979,p0,18
1394,1979,p0,19
1395,1979,p0,20
1396,1979,p0,21
1397,1979,p0,22
1398,1979,p0,23
1399,1979,p0,24
1400,1979,p0,25
1401,1980,p0,1
1402,1980,p0,2
1403,1980,p0,3
1404,1980,p0,4
1405,1980,p0,5
1406,1980,p0,6
1407,1980,p0,7
1408,1980,p0,8
1409,1980,p0,9
1410,1980,p0,10
1411,1980,p0,11
1412,1980,p0,12
1413,1980,p0,13
1414,1980,p0,14
1415,1980,p0,15
1416,1980,p0,16
1417,1980,p0,17
1418,1980,p0,18
1419,1980,p0,19
1420,1980,p0,20
1421,1980,p0,21
1422,1980,p0,22
1423,1980,p0,23
1424,1980,p0,24
1425,1980,p0,25
1426,1981,p0,1
1427,1981,p0,2
1428,1981,p0,3
1429,1981,p0,4
1430,1981,p0,5
1431,1981,p0,6
1432,1981,p0,7
1433,1981,p0,8
1434,1981,p0,9
1435,1981,p0,10
1436,1981,p0,11
1437,1981,p0,12
1438,1981,p0,13
1439,1981,p0,14
1440,1981,p0,15
1441,1981,p0,16
1442,1981,p0,17
1443,1981,p0,18
1444,1981,p0,19
1445,1981,p0,20
1446,1981,p0,21
1447,1981,p0,22
1448,1981,p0,23
1449,1981,p0,24
1450,1981,p0,25
1451,1982,p0,1
1452,1982,p0,2
1453,1982,p0,3
1454,1982,p0,4
1455,1982,p0,5
1456,1982,p0,6
1457,1982,p0,7
1458,1982,p0,8
1459,1982,p0,9
1460,1982,p0,10
1461,1982,p0,11
1462,1982,p0,12
1463,1982,p0,13
1464,1982,p0,14
1465,1982,p0,15
1466,1982,p0,16
1467,1982,p0,17
1468,1982,p0,18
1469,1982,p0,19
1470,1982,p0,20
1471,1982,p0,21
1472,1982,p0,22
1473,1982,p0,23
1474,1983,p0,1
1475,1983,p0,2
1476,1983,p0,3
1477,1983,p0,4
1478,1983,p0,5
1479,1983,p0,6
1480,1983,p0,7
1481,1983,p0,8
1482,1983,p0,9
1483,1983,p0,10
1484,1983,p0,11
1485,1983,p0,12
1486,1983,p0,13
1487,1983,p0,14
1488,1983,p0,15
1489,1983,p0,16
1490,1983,p0,17
1491,1983,p0,18
1492,1983,p0,19
1493,1983,p0,20
1494,1983,p0,21
1495,1983,p0,22
1496,1983,p0,23
1497,1984,p0,1
1498,1984,p0,2
1499,1984,p0,3
1500,1984,p0,4
1501,1984,p0,5
1502,1984,p0,6
1503,1984,p0,7
1504,1984,p0,8
1505,1984,p0,9
1506,1984,p0,10
1507,1984,p0,11
1508,1984,p0,12
1509,1984,p0,13
1510,1984,p0,14
1511,1984,p0,15
1512,1984,p0,16
1513,1984,p0,17
1514,1984,p0,18
1515,1984,p0,19
1516,1984,p0,20
1517,1984,p0,21
1518,1984,p0,22
1519,1984,p0,23
1520,1984,p0,24
1521,1985,p0,1
1522,1985,p0,2
1523,1985,p0,3
1524,1985,p0,4
1525,1985,p0,5
1526,1985,p0,6
1527,1985,p0,7
1528,1985,p0,8
1529,1985,p0,9
1530,1985,p0,10
1531,1985,p0,11
1532,1985,p0,12
1533,1985,p0,13
1534,1985,p0,14
1535,1985,p0,15
1536,1985,p0,16
1537,1985,p0,17
1538,1985,p0,18
1539,1985,p0,19
1540,1985,p0,20
1541,1985,p0,21
1542,1985,p0,22
1543,1985,p0,23
1544,1985,p0,24
1545,1986,p0,1
1546,1986,p0,2
1547,1986,p0,3
1548,1986,p0,4
1549,1986,p0,5
1550,1986,p0,6
1551,1986,p0,7
1552,1986,p0,8
1553,1986,p0,9
1554,1986,p0,10
1555,1986,p0,11
1556,1986,p0,12
1557,1986,p0,13
1558,1986,p0,14
1559,1986,p0,15
1560,1986,p0,16
1561,1986,p0,17
1562,1986,p0,18
1563,1986,p0,19
1564,1986,p0,20
1565,1986,p0,21
1566,1986,p0,22
1567,1986,p0,23
1568,1986,p0,24
1569,1987,p0,1
1570,1987,p0,2
1571,1987,p0,3
1572,1987,p0,4
1573,1987,p0,5
1574,1987,p0,6
1575,1987,p0,7
1576,1987,p0,8
1577,1987,p0,9
1578,1987,p0,10
1579,1987,p0,11
1580,1987,p0,12
1581,1987,p0,13
1582,1987,p0,14
1583,1987,p0,15
1584,1987,p0,16
1585,1987,p0,17
1586,1987,p0,18
1587,1987,p0,19
1588,1987,p0,20
1589,1987,p0,21
1590,1987,p0,22
1591,1987,p0,23
1592,1987,p0,24
1593,1987,p0,25
1594,1987,p0,26
1595,1988,p0,1
1596,1988,p0,2
1597,1988,p0,3
1598,1988,p0,4
1599,1988,p0,5
1600,1988,p0,6
1601,1988,p0,7
1602,1988,p0,8
1603,1988,p0,9
1604,1988,p0,10
1605,1988,p0,11
1606,1988,p0,12
1607,1988,p0,13
1608,1988,p0,14
1609,1988,p0,15
1610,1988,p0,16
1611,1988,p0,17
1612,1988,p0,18
1613,1988,p0,19
1614,1988,p0,20
1615,1988,p0,21
1616,1988,p0,22
1617,1988,p0,23
1618,1989,p0,1
1619,1989,p0,2
1620,1989,p0,3
1621,1989,p0,4
1622,1989,p0,5
1623,1989,p0,6
1624,1989,p0,7
1625,1989,p0,8
1626,1989,p0,9
1627,1989,p0,10
1628,1989,p0,11
1629,1989,p0,12
1630,1989,p0,13
1631,1989,p0,14
1632,1989,p0,15
1633,1989,p0,16
1634,1989,p0,17
1635,1989,p0,18
1636,1989,p0,19
1637,1989,p0,20
1638,1989,p0,21
1639,1989,p0,22
1640,1990,p1,1
1641,1990,p1,2
1642,1990,p1,3
1643,1990,p1,4
1644,1990,p1,5
1645,1990,p1,6
1646,1990,p1,7
1647,1990,p1,8
1648,1990,p1,9
1649,1990,p2,10
1650,1990,p5,11
1651,1990,p5,12
1652,1990,p3,13
1653,1990,p2,14
1654,1990,p5,15
1655,1990,p2,16
1656,1990,p5,17
1657,1990,p4,18
1658,1990,p1,19
1659,1990,p1,20
1660,1990,p1,21
1661,1990,p1,22
1662,1991,p1,1
1663,1991,p1,2
1664,1991,p1,3
1665,1991,p1,4
1666,1991,p1,5
1667,1991,p1,6
1668,1991,p1,7
1669,1991,p1,8
1670,1991,p1,9
1671,1991,p1,10
1672,1991,p1,11
1673,1991,p1,12
1674,1991,p4,13
1675,1991,p5,14
1676,1991,p1,15
1677,1991,p1,16
1678,1991,p1,17
1679,1991,p5,18
1680,1991,p3,19
1681,1991,p2,20
1682,1991,p2,21
1683,1991,p1,22
1684,1991,p1,23
1685,1992,p1,1
1686,1992,p0,2
1687,1992,p2,3
1688,1992,p1,4
1689,1992,p1,5
1690,1992,p1,6
1691,1992,p1,7
1692,1992,p1,8
1693,1992,p1,9
1694,1992,p0,10
1695,1992,p1,11
1696,1992,p2,12
1697,1992,p3,13
1698,1992,p5,14
1699,1992,p5,15
1700,1992,p2,16
1701,1992,p3,17
1702,1992,p2,18
1703,1992,p2,19
1704,1992,p2,20
1705,1992,p2,21
1706,1992,p2,22
1707,1993,p1,1
1708,1993,p1,2
1709,1993,p1,3
1710,1993,p1,4
1711,1993,p1,5
1712,1993,p1,6
1713,1993,p1,7
1714,1993,p1,8
1715,1993,p1,9
1716,1993,p1,10
1717,1993,p4,11
1718,1993,p5,12
1719,1993,p2,13
1720,1993,p1,14
1721,1993,p1,15
1722,1993,p5,16
1723,1993,p5,17
1724,1993,p4,18
1725,1993,p1,19
1726,1993,p1,20
1727,1993,p1,21
1728,1994,p1,1
1729,1994,p1,2
1730,1994,p1,3
1731,1994,p1,4
1732,1994,p1,5
1733,1994,p1,6
1734,1994,p1,7
1735,1994,p1,8
1736,1994,p1,9
1737,1994,p1,10
1738,1994,p1,11
1739,1994,p5,12
1740,1994,p5,13
1741,1994,p1,14
1742,1994,p2,15
1743,1994,p4,16
1744,1994,p5,17
1745,1994,p5,18
1746,1994,p4,19
1747,1994,p5,20
1748,1994,p2,21
1749,1994,p1,22
1750,1995,p1,1
1751,1995,p1,2
1752,1995,p1,3
1753,1995,p1,4
1754,1995,p1,5
1755,1995,p1,6
1756,1995,p1,7
1757,1995,p2,8
1758,1995,p3,9
1759,1995,p5,10
1760,1995,p5,11
1761,1995,p2,12
1762,1995,p5,13
1763,1995,p2,14
1764,1995,p5,15
1765,1995,p5,16
1766,1995,p4,17
1767,1995,p1,18
1768,1995,p1,19
1769,1995,p1,20
1770,1995,p1,21
1771,1996,p1,1
1772,1996,p1,2
1773,1996,p1,3
1774,1996,p1,4
1775,1996,p1,5
1776,1996,p1,6
1777,1996,p2,7
1778,1996,p5,8
1779,1996,p5,9
1780,1996,p5,10
1781,1996,p2,11
1782,1996,p2,12
1783,1996,p2,13
1784,1996,p3,14
1785,1996,p3,15
1786,1996,p1,16
1787,1996,p5,17
1788,1996,p4,18
1789,1996,p2,19
1790,1996,p1,20
1791,1996,p1,21
1792,1996,p1,22
1793,1997,p1,1
1794,1997,p1,2
1795,1997,p1,3
1796,1997,p3,4
1797,1997,p1,5
1798,1997,p1,6
1799,1997,p1,7
1800,1997,p1,8
1801,1997,p1,9
1802,1997,p3,10
1803,1997,p5,11
1804,1997,p2,12
1805,1997,p2,13
1806,1997,p5,14
1807,1997,p5,15
1808,1997,p4,16
1809,1997,p2,17
1810,1997,p1,18
1811,1997,p2,19
1812,1997,p1,20
1813,1997,p1,21
1814,1997,p1,22
1815,1998,p1,1
1816,1998,p1,2
1817,1998,p1,3
1818,1998,p1,4
1819,1998,p1,5
1820,1998,p1,6
1821,1998,p1,7
1822,1998,p1,8
1823,1998,p1,9
1824,1998,p4,10
1825,1998,p5,11
1826,1998,p1,12
1827,1998,p2,13
1828,1998,p2,14
1829,1998,p5,15
1830,1998,p4,16
1831,1998,p4,17
1832,1998,p2,18
1833,1998,p1,19
1834,1998,p1,20
1835,1998,p1,21
1836,1999,p1,1
1837,1999,p1,2
1838,1999,p1,3
1839,1999,p1,4
1840,1999,p1,5
1841,1999,p1,6
1842,1999,p1,7
1843,1999,p1,8
1844,1999,p1,9
1845,1999,p5,10
1846,1999,p5,11
1847,1999,p2,12
1848,1999,p3,13
1849,1999,p2,14
1850,1999,p1,15
1851,1999,p5,16
1852,1999,p4,17
1853,1999,p1,18
1854,1999,p1,19
1855,1999,p1,20
1856,1999,p1,21
1857,2000,p1,1
1858,2000,p1,2
1859,2000,p1,3
1860,2000,p1,4
1861,2000,p1,5
1862,2000,p1,6
1863,2000,p1,7
1864,2000,p1,8
1865,2000,p1,9
1866,2000,p5,10
1867,2000,p1,11
1868,2000,p5,12
1869,2000,p1,13
1870,2000,p5,14
1871,2000,p5,15
1872,2000,p4,16
1873,2000,p2,17
1874,2000,p1,18
1875,2000,p1,19
1876,2000,p1,20
1877,2000,p1,21
1878,2001,p1,1
1879,2001,p1,2
1880,2001,p1,3
1881,2001,p2,4
1882,2001,p1,5
1883,2001,p1,6
1884,2001,p2,7
1885,2001,p2,8
1886,2001,p1,9
1887,2001,p1,10
1888,2001,p5,11
1889,2001,p5,12
1890,2001,p5,13
1891,2001,p5,14
1892,2001,p5,15
1893,2001,p1,16
1894,2001,p1,17
1895,2001,p1,18
1896,2001,p1,19
1897,2001,p1,20
1898,2001,p1,21
1899,2002,p1,1
1900,2002,p1,2
1901,2002,p1,3
1902,2002,p1,4
1903,2002,p1,5
1904,2002,p1,6
1905,2002,p1,7
1906,2002,p1,8
1907,2002,p1,9
1908,2002,p1,10
1909,2002,p1,11
1910,2002,p5,12
1911,2002,p0,13
1912,2002,p1,14
1913,2002,p5,15
1914,2002,p5,16
1915,2002,p5,17
1916,2002,p4,18
1917,2002,p2,19
1918,2002,p1,20
1919,2002,p1,21
1920,2003,p0,1
1921,2003,p0,2
1922,2003,p0,3
1923,2003,p0,4
1924,2003,p0,5
1925,2003,p0,6
1926,2003,p0,7
1927,2003,p0,8
1928,2003,p0,9
1929,2003,p0,10
1930,2003,p0,11
1931,2003,p0,12
1932,2003,p0,13
1933,2003,p0,14
1934,2003,p0,15
1935,2003,p0,16
1936,2003,p0,17
1937,2003,p0,18
1938,2003,p0,19
1939,2003,p0,20
1940,2003,p0,21
1941,2004,p0,1
1942,2004,p0,2
1943,2004,p0,3
1944,2004,p0,4
1945,2004,p0,5
1946,2004,p0,6
1947,2004,p0,7
1948,2004,p0,8
1949,2004,p0,9
1950,2004,p0,10
1951,2004,p0,11
1952,2004,p0,12
1953,2004,p0,13
1954,2004,p0,14
1955,2004,p0,15
1956,2004,p0,16
1957,2004,p0,17
1958,2004,p4,18
1959,2004,p2,19
1960,2004,p0,20
1961,2004,p0,21
1962,2005,p0,1
1963,2005,p0,2
1964,2005,p0,3
1965,2005,p0,4
1966,2005,p0,5
1967,2005,p0,6
1968,2005,p0,7
1969,2005,p0,8
1970,2005,p0,9
1971,2005,p0,10
1972,2005,p4,11
1973,2005,p0,12
1974,2005,p0,13
1975,2005,p0,14
1976,2005,p0,15
1977,2005,p0,16
1978,2005,p0,17
1979,2005,p0,18
1980,2005,p0,19
1981,2005,p0,20
1982,2005,p0,21
1983,2006,p1,1
1984,2006,p0,2
1985,2006,p0,3
1986,2006,p0,4
1987,2006,p0,5
1988,2006,p0,6
1989,2006,p0,7
1990,2006,p0,8
1991,2006,p0,9
1992,2006,p0,10
1993,2006,p0,11
1994,2006,p0,12
1995,2006,p0,13
1996,2006,p0,14
1997,2006,p0,15
1998,2006,p0,16
1999,2006,p0,17
2000,2006,p0,18
2001,2006,p0,19
2002,2006,p0,20
2003,2006,p0,21
2004,2007,p0,1
2005,2007,p0,2
2006,2007,p0,3
2007,2007,p1,4
2008,2007,p1,5
2009,2007,p0,6
2010,2007,p0,7
2011,2007,p0,8
2012,2007,p0,9
2013,2007,p0,10
2014,2007,p0,11
2015,2007,p0,12
2016,2007,p0,13
2017,2007,p0,14
2018,2007,p0,15
2019,2007,p0,16
2020,2007,p0,17
2021,2007,p0,18
2022,2007,p0,19
2023,2007,p0,20
2024,2007,p0,21
2025,2008,p0,1
2026,2008,p0,2
2027,2008,p0,3
2028,2008,p0,4
2029,2008,p1,5
2030,2008,p0,6
2031,2008,p0,7
2032,2008,p1,8
2033,2008,p0,9
2034,2008,p0,10
2035,2008,p0,11
2036,2008,p1,12
2037,2008,p1,13
2038,2008,p0,14
2039,2008,p0,15
2040,2008,p0,16
2041,2008,p5,17
2042,2008,p0,18
2043,2008,p0,19
2044,2008,p0,20
2045,2008,p0,21
2046,2009,p0,1
2047,2009,p1,2
2048,2009,p1,3
2049,2009,p0,4
2050,2009,p0,5
2051,2009,p0,6
2052,2009,p0,7
2053,2009,p0,8
2054,2009,p0,9
2055,2009,p1,10
2056,2009,p1,11
2057,2009,p0,12
2058,2009,p0,13
2059,2009,p0,14
2060,2009,p0,15
2061,2009,p0,16
2062,2009,p0,17
2063,2009,p0,18
2064,2009,p0,19
2065,2009,p0,20
2066,2009,p0,21
2067,2010,p0,1
2068,2010,p0,2
2069,2010,p0,3
2070,2010,p0,4
2071,2010,p0,5
2072,2010,p1,6
2073,2010,p1,7
2074,2010,p0,8
2075,2010,p0,9
2076,2010,p0,10
2077,2010,p0,11
2078,2010,p1,12
2079,2010,p0,13
2080,2010,p1,14
2081,2010,p0,15
2082,2010,p0,16
2083,2010,p0,17
2084,2010,p0,18
2085,2010,p0,19
2086,2010,p0,20
2087,2010,p1,21
2088,2011,p3,1
2089,2011,p1,2
2090,2011,p1,3
2091,2011,p3,4
2092,2011,p1,5
2093,2011,p2,6
2094,2011,p1,7
2095,2011,p5,8
2096,2011,p2,9
2097,2011,p2,10
2098,2011,p2,11
2099,2011,p5,12
2100,2011,p4,13
2101,2011,p5,14
2102,2011,p1,15
2103,2011,p4,16
2104,2011,p4,17
2105,2011,p5,18
2106,2011,p5,19
2107,2011,p2,20
2108,2011,p1,21
2109,2012,p1,1
2110,2012,p3,2
2111,2012,p1,3
2112,2012,p3,4
2113,2012,p1,5
2114,2012,p1,6
2115,2012,p1,7
2116,2012,p5,8
2117,2012,p4,9
2118,2012,p1,10
2119,2012,p4,11
2120,2012,p5,12
2121,2012,p4,13
2122,2012,p1,14
2123,2012,p4,15
2124,2012,p1,16
2125,2012,p4,17
2126,2012,p5,18
2127,2012,p1,19
2128,2012,p1,20
2129,2012,p1,21
2130,2013,p1,1
2131,2013,p4,2
2132,2013,p2,3
2133,2013,p1,4
2134,2013,p2,5
2135,2013,p1,6
2136,2013,p2,7
2137,2013,p5,8
2138,2013,p4,9
2139,2013,p1,10
2140,2013,p1,11
2141,2013,p1,12
2142,2013,p1,13
2143,2013,p2,14
2144,2013,p5,15
2145,2013,p4,16
2146,2013,p2,17
2147,2013,p5,18
2148,2013,p4,19
2149,2013,p5,20
2150,2013,p1,21
2151,2014,p2,1
2152,2014,p2,2
2153,2014,p1,3
2154,2014,p1,4
2155,2014,p1,5
2156,2014,p1,6
2157,2014,p1,7
2158,2014,p5,8
2159,2014,p4,9
2160,2014,p5,10
2161,2014,p2,11
2162,2014,p2,12
2163,2014,p5,13
2164,2014,p5,14
2165,2014,p1,15
2166,2014,p4,16
2167,2014,p5,17
2168,2014,p5,18
2169,2014,p1,19
2170,2014,p3,20
2171,2014,p1,21
2172,2015,p1,1
2173,2015,p1,2
2174,2015,p3,3
2175,2015,p1,4
2176,2015,p1,5
2177,2015,p3,6
2178,2015,p1,7
2179,2015,p3,8
2180,2015,p3,9
2181,2015,p5,10
2182,2015,p5,11
2183,2015,p5,12
2184,2015,p2,13
2185,2015,p5,14
2186,2015,p2,15
2187,2015,p4,16
2188,2015,p5,17
2189,2015,p4,18
2190,2015,p5,19
2191,2015,p5,20
2192,2015,p1,21
2193,2016,p2,1
2194,2016,p3,2
2195,2016,p2,3
2196,2016,p2,4
2197,2016,p4,5
2198,2016,p2,6
2199,2016,p4,7
2200,2016,p4,8
2201,2016,p5,9
2202,2016,p4,10
2203,2016,p2,11
2204,2016,p5,12
2205,2016,p3,13
2206,2016,p2,14
2207,2016,p4,15
2208,2016,p2,16
2209,2016,p5,17
2210,2016,p5,18
2211,2016,p5,19
2212,2016,p4,20
2213,2016,p1,21
2214,2017,p1,1
2215,2017,p1,2
2216,2017,p1,3
2217,2017,p1,4
2218,2017,p5,5
2219,2017,p1,6
2220,2017,p1,7
2221,2017,p4,8
2222,2017,p4,9
2223,2017,p1,10
2224,2017,p1,11
2225,2017,p5,12
2226,2017,p4,13
2227,2017,p1,14
2228,2017,p2,15
2229,2017,p1,16
2230,2017,p4,17
2231,2017,p5,18
2232,2017,p1,19
2233,2017,p1,20
2234,2017,p1,21
2235,2018,p1,1
2236,2018,p1,2
2237,2018,p1,3
2238,2018,p1,4
2239,2018,p3,5
2240,2018,p3,6
2241,2018,p1,7
2242,2018,p1,8
2243,2018,p1,9
2244,2018,p4,10
2245,2018,p5,11
2246,2018,p5,12
2247,2018,p1,13
2248,2018,p2,14
2249,2018,p4,15
2250,2018,p4,16
2251,2018,p5,17
2252,2018,p1,18
2253,2018,p4,19
2254,2018,p3,20
2255,2018,p1,21
2256,2019,p3,1
2257,2019,p1,2
2258,2019,p3,3
2259,2019,p2,4
2260,2019,p2,5
2261,2019,p5,6
2262,2019,p2,7
2263,2019,p2,8
2264,2019,p2,9
2265,2019,p2,10
2266,2019,p2,11
2267,2019,p4,12
2268,2019,p1,13
2269,2019,p5,14
2270,2019,p5,15
2271,2019,p2,16
2272,2019,p2,17
2273,2019,p4,18
2274,2019,p5,19
2275,2019,p5,20
2276,2019,p1,21
2277,2020,p2,1
2278,2020,p4,2
2279,2020,p2,3
2280,2020,p5,4
2281,2020,p1,5
2282,2020,p5,6
2283,2020,p2,7
2284,2020,p4,8
2285,2020,p4,9
2286,2020,p1,10
2287,2020,p1,11
2288,2020,p3,12
2289,2020,p5,13
2290,2020,p4,14
2291,2020,p5,15
2292,2020,p5,16
2293,2020,p5,17
2294,2020,p4,18
2295,2020,p2,19
2296,2020,p5,20
2297,2020,p1,21
