,year,type,stage
279,1927,p1,2
280,1927,p1,3
281,1927,p1,4
282,1927,p1,5
283,1927,p1,6
284,1927,p1,7
285,1927,p1,8
286,1927,p1,9
287,1927,p1,10
288,1927,p4,11
289,1927,p4,12
290,1927,p1,13
291,1927,p1,14
292,1927,p4,15
293,1927,p4,16
294,1927,p4,17
295,1927,p1,18
296,1927,p1,19
297,1927,p1,20
298,1927,p1,21
299,1927,p1,22
300,1927,p1,23
301,1927,p1,24
302,1928,p1,1
303,1928,p1,2
304,1928,p1,3
305,1928,p1,4
306,1928,p1,5
307,1928,p1,6
308,1928,p1,7
309,1928,p1,8
310,1928,p4,9
311,1928,p4,10
312,1928,p1,11
313,1928,p4,12
314,1928,p4,13
315,1928,p4,14
316,1928,p1,15
317,1928,p1,16
318,1928,p1,17
319,1928,p1,18
320,1928,p1,19
321,1928,p1,20
322,1928,p1,21
323,1928,p1,22
324,1929,p1,1
325,1929,p1,2
326,1929,p1,3
327,1929,p1,4
328,1929,p1,5
329,1929,p1,6
330,1929,p1,7
331,1929,p1,8
332,1929,p4,9
333,1929,p4,10
334,1929,p1,11
335,1929,p1,12
336,1929,p4,13
337,1929,p4,14
338,1929,p4,15
339,1929,p4,16
340,1929,p1,17
341,1929,p1,18
342,1929,p1,19
343,1929,p1,20
344,1929,p1,21
345,1929,p1,22
346,1930,p1,1
347,1930,p1,2
348,1930,p1,3
349,1930,p1,4
350,1930,p1,5
351,1930,p1,6
352,1930,p1,7
353,1930,p1,8
354,1930,p4,9
355,1930,p4,10
356,1930,p1,11
357,1930,p1,12
358,1930,p1,13
359,1930,p4,14
360,1930,p4,15
361,1930,p4,16
362,1930,p4,17
363,1930,p1,18
364,1930,p1,19
365,1930,p1,20
366,1930,p1,21
367,1931,p1,1
368,1931,p1,2
369,1931,p1,3
370,1931,p1,4
371,1931,p1,5
372,1931,p1,6
373,1931,p1,7
374,1931,p1,8
375,1931,p4,9
376,1931,p4,10
377,1931,p1,11
378,1931,p1,12
379,1931,p1,13
380,1931,p4,14
381,1931,p4,15
382,1931,p4,16
383,1931,p4,17
384,1931,p4,18
385,1931,p4,19
386,1931,p4,20
387,1931,p1,21
388,1931,p1,22
389,1931,p1,23
390,1931,p1,24
391,1932,p1,1
392,1932,p1,2
393,1932,p1,3
394,1932,p1,4
395,1932,p4,5
396,1932,p4,6
397,1932,p1,7
398,1932,p1,8
399,1932,p1,9
400,1932,p4,10
401,1932,p4,11
402,1932,p4,12
403,1932,p4,13
404,1932,p4,14
405,1932,p4,15
406,1932,p1,16
407,1932,p1,17
408,1932,p1,18
409,1932,p1,19
410,1932,p1,20
411,1932,p1,21
412,1933,p1,1
413,1933,p1,2
414,1933,p1,3
415,1933,p4,4
416,1933,p4,5
417,1933,p4,6
418,1933,p4,7
419,1933,p4,8
420,1933,p4,9
421,1933,p1,10
422,1933,p4,11
423,1933,p1,12
424,1933,p1,13
425,1933,p1,14
426,1933,p4,15
427,1933,p4,16
428,1933,p4,17
429,1933,p4,18
430,1933,p1,19
431,1933,p1,20
432,1933,p1,21
433,1933,p1,22
434,1933,p1,23
435,1934,p1,1
436,1934,p1,2
437,1934,p1,3
438,1934,p4,4
439,1934,p1,5
440,1934,p4,6
441,1934,p4,7
442,1934,p4,8
443,1934,p4,9
444,1934,p1,10
445,1934,p4,11
446,1934,p1,12
447,1934,p1,13
448,1934,p1,14
449,1934,p1,15
450,1934,p4,16
451,1934,p4,17
452,1934,p4,18
453,1934,p1,19
454,1934,p1,20
455,1934,p1,21
456,1934,p1,22
457,1934,p1,23
458,1934,p1,24
459,1935,p1,1
460,1935,p1,2
461,1935,p1,3
462,1935,p4,4
463,1935,p1,5
464,1935,p1,6
465,1935,p4,7
466,1935,p4,8
467,1935,p4,9
468,1935,p4,10
469,1935,p1,11
470,1935,p4,12
471,1935,p1,13
472,1935,p1,14
473,1935,p1,15
474,1935,p1,16
475,1935,p1,17
476,1935,p4,18
477,1935,p4,19
478,1935,p1,20
479,1935,p1,21
480,1935,p1,22
481,1935,p1,23
482,1935,p1,24
483,1935,p1,25
484,1935,p1,26
485,1935,p1,27
486,1936,p1,1
487,1936,p1,2
488,1936,p1,3
489,1936,p4,4
490,1936,p1,5
491,1936,p4,6
492,1936,p4,7
493,1936,p4,8
494,1936,p4,9
495,1936,p1,10
496,1936,p4,11
497,1936,p1,12
498,1936,p1,13
499,1936,p1,14
500,1936,p1,15
501,1936,p1,16
502,1936,p4,17
503,1936,p4,18
504,1936,p1,19
505,1936,p1,20
506,1936,p1,21
507,1936,p1,22
508,1936,p1,23
509,1936,p1,24
510,1936,p1,25
511,1936,p1,26
512,1936,p1,27
513,1937,p1,1
514,1937,p1,2
515,1937,p1,3
516,1937,p4,4
517,1937,p1,5
518,1937,p1,6
519,1937,p1,7
520,1937,p4,8
521,1937,p4,9
522,1937,p4,10
523,1937,p4,11
524,1937,p4,12
525,1937,p1,13
526,1937,p1,14
527,1937,p1,15
528,1937,p1,16
529,1937,p1,17
530,1937,p1,18
531,1937,p4,19
532,1937,p4,20
533,1937,p1,21
534,1937,p4,22
535,1937,p1,23
536,1937,p1,24
537,1937,p1,25
538,1937,p1,26
